MMDDHH	SIN_mg/cm3/h	STP_oC	SWC	SWP_MPa	pH
012302	0	25	0.245	-0.000726	7.3
012303	0	25	0.245	-0.000726	7.3
012304	0	25	0.245	-0.000726	7.3
012305	0	25	0.245	-0.000726	7.3
012306	0	25	0.245	-0.000726	7.3
012307	0	25	0.245	-0.000726	7.3
012308	0	25	0.245	-0.000726	7.3
012309	0	25	0.245	-0.000726	7.3
012310	0	25	0.245	-0.000726	7.3
012311	0	25	0.245	-0.000726	7.3
012312	0	25	0.245	-0.000726	7.3
012313	0	25	0.245	-0.000726	7.3
012314	0	25	0.245	-0.000726	7.3
012315	0	25	0.245	-0.000726	7.3
012316	0	25	0.245	-0.000726	7.3
012317	0	25	0.245	-0.000726	7.3
012318	0	25	0.245	-0.000726	7.3
012319	0	25	0.245	-0.000726	7.3
012320	0	25	0.245	-0.000726	7.3
012321	0	25	0.245	-0.000726	7.3
012322	0	25	0.245	-0.000726	7.3
012323	0	25	0.245	-0.000726	7.3
012324	0	25	0.245	-0.000726	7.3
012401	0	25	0.245	-0.000726	7.3
012402	0	25	0.245	-0.000726	7.3
012403	0	25	0.245	-0.000726	7.3
012404	0	25	0.245	-0.000726	7.3
012405	0	25	0.245	-0.000726	7.3
012406	0	25	0.245	-0.000726	7.3
012407	0	25	0.245	-0.000726	7.3
012408	0	25	0.245	-0.000726	7.3
012409	0	25	0.245	-0.000726	7.3
012410	0	25	0.245	-0.000726	7.3
012411	0	25	0.245	-0.000726	7.3
012412	0	25	0.245	-0.000726	7.3
012413	0	25	0.245	-0.000726	7.3
012414	0	25	0.245	-0.000726	7.3
012415	0	25	0.245	-0.000726	7.3
012416	0	25	0.245	-0.000726	7.3
012417	0	25	0.245	-0.000726	7.3
012418	0	25	0.245	-0.000726	7.3
012419	0	25	0.245	-0.000726	7.3
012420	0	25	0.245	-0.000726	7.3
012421	0	25	0.245	-0.000726	7.3
012422	0	25	0.245	-0.000726	7.3
012423	0	25	0.245	-0.000726	7.3
012424	0	25	0.245	-0.000726	7.3
012501	0	25	0.245	-0.000726	7.3
012502	0	25	0.245	-0.000726	7.3
012503	0	25	0.245	-0.000726	7.3
012504	0	25	0.245	-0.000726	7.3
012505	0	25	0.245	-0.000726	7.3
012506	0	25	0.245	-0.000726	7.3
012507	0	25	0.245	-0.000726	7.3
012508	0	25	0.245	-0.000726	7.3
012509	0	25	0.245	-0.000726	7.3
012510	0	25	0.245	-0.000726	7.3
012511	0	25	0.245	-0.000726	7.3
012512	0	25	0.245	-0.000726	7.3
012513	0	25	0.245	-0.000726	7.3
012514	0	25	0.245	-0.000726	7.3
012515	0	25	0.245	-0.000726	7.3
012516	0	25	0.245	-0.000726	7.3
012517	0	25	0.245	-0.000726	7.3
012518	0	25	0.245	-0.000726	7.3
012519	0	25	0.245	-0.000726	7.3
012520	0	25	0.245	-0.000726	7.3
012521	0	25	0.245	-0.000726	7.3
012522	0	25	0.245	-0.000726	7.3
012523	0	25	0.245	-0.000726	7.3
012524	0	25	0.245	-0.000726	7.3
012601	0	25	0.245	-0.000726	7.3
012602	0	25	0.245	-0.000726	7.3
012603	0	25	0.245	-0.000726	7.3
012604	0	25	0.245	-0.000726	7.3
012605	0	25	0.245	-0.000726	7.3
012606	0	25	0.245	-0.000726	7.3
012607	0	25	0.245	-0.000726	7.3
012608	0	25	0.245	-0.000726	7.3
012609	0	25	0.245	-0.000726	7.3
012610	0	25	0.245	-0.000726	7.3
012611	0	25	0.245	-0.000726	7.3
012612	0	25	0.245	-0.000726	7.3
012613	0	25	0.245	-0.000726	7.3
012614	0	25	0.245	-0.000726	7.3
012615	0	25	0.245	-0.000726	7.3
012616	0	25	0.245	-0.000726	7.3
012617	0	25	0.245	-0.000726	7.3
012618	0	25	0.245	-0.000726	7.3
012619	0	25	0.245	-0.000726	7.3
012620	0	25	0.245	-0.000726	7.3
012621	0	25	0.245	-0.000726	7.3
012622	0	25	0.245	-0.000726	7.3
012623	0	25	0.245	-0.000726	7.3
012624	0	25	0.245	-0.000726	7.3
012701	0	25	0.245	-0.000726	7.3
012702	0	25	0.245	-0.000726	7.3
012703	0	25	0.245	-0.000726	7.3
012704	0	25	0.245	-0.000726	7.3
012705	0	25	0.245	-0.000726	7.3
012706	0	25	0.245	-0.000726	7.3
012707	0	25	0.245	-0.000726	7.3
012708	0	25	0.245	-0.000726	7.3
012709	0	25	0.245	-0.000726	7.3
012710	0	25	0.245	-0.000726	7.3
012711	0	25	0.245	-0.000726	7.3
012712	0	25	0.245	-0.000726	7.3
012713	0	25	0.245	-0.000726	7.3
012714	0	25	0.245	-0.000726	7.3
012715	0	25	0.245	-0.000726	7.3
012716	0	25	0.245	-0.000726	7.3
012717	0	25	0.245	-0.000726	7.3
012718	0	25	0.245	-0.000726	7.3
012719	0	25	0.245	-0.000726	7.3
012720	0	25	0.245	-0.000726	7.3
012721	0	25	0.245	-0.000726	7.3
012722	0	25	0.245	-0.000726	7.3
012723	0	25	0.245	-0.000726	7.3
012724	0	25	0.245	-0.000726	7.3
012801	0	25	0.245	-0.000726	7.3
012802	0	25	0.245	-0.000726	7.3
012803	0	25	0.245	-0.000726	7.3
012804	0	25	0.245	-0.000726	7.3
012805	0	25	0.245	-0.000726	7.3
012806	0	25	0.245	-0.000726	7.3
